index,rid,vid,owner,address,zip
0,T6285,6500,AGEAN TAXI LLC,4536 N. ELSTON AVE.,60630
1,T4862,4862,MANGIB CORP.,5717 N. WASHTENAW AVE.,60659
2,T1495,1411,FUNRIDE INC.,3351 W. ADDISON ST.,60618
3,T4231,4231,ALQUSH CORP.,6611 N. CAMPBELL AVE.,60645
4,T5971,6274,EUNIFFORD INC.,3351 W. ADDISON ST.,60618
5,T4453,4453,IMAGIN CAB CORP.,3351 W. ADDISON ST.,60618
6,T121,854,TRIBECA CAB CORP,4536 N. ELSTON AVE.,60630
7,T3465,3465,AMIR EXPRESS INC,3351 W. ADDISON ST.,60618
8,T1962,2767,KARY CAB COMPANY,4707 N. KENTON AVE.,60630
9,T1031,1031,NECT 42 LLC,6500 N. WESTERN AVE.,60645
